"latex","Parameter","Definition","Prior","Posterior"
"$\nicefrac{\gamma_{srog}}{\gamma_{sryg}}$ & Relative probability of of accessing care when symptomatic, old:young & 1.05 (1.00-1.10) & 1.05 (1.00-1.10) \\","$\nicefrac{\gamma_{srog}}{\gamma_{sryg}}$","Relative probability of of accessing care when symptomatic, old:young","1.05 (1.00-1.10)","1.05 (1.00-1.10)"
"$\nicefrac{\gamma_{frap}}{\gamma_{fran}}$ & Relative probability of of accessing care when symptomatic, pregnant:non & 1.05 (1.00-1.10) & 1.05 (1.00-1.10) \\","$\nicefrac{\gamma_{frap}}{\gamma_{fran}}$","Relative probability of of accessing care when symptomatic, pregnant:non","1.05 (1.00-1.10)","1.05 (1.00-1.10)"
"$\tau^y_m$ & Rate of receiving treatment among symptomatic who access care & 30.0 (20.5-39.5) & 29.7 (20.6-39.4) \\","$\tau^y_m$","Rate of receiving treatment among symptomatic who access care","30.0 (20.5-39.5)","29.7 (20.6-39.4)"
"$\nicefrac{\tau^y_f}{\tau^y_m}$ & Relative rate of receiving treatment among symptomatic who access care, female:male & 0.75 (0.51-0.99) & 0.75 (0.52-0.98) \\","$\nicefrac{\tau^y_f}{\tau^y_m}$","Relative rate of receiving treatment among symptomatic who access care, female:male","0.75 (0.51-0.99)","0.75 (0.52-0.98)"
"n & Number sex acts per week & 1.50 (1.03-1.97) & 1.53 (1.05-1.97) \\","n","Number sex acts per week","1.50 (1.03-1.97)","1.53 (1.05-1.97)"
"$p_m$ & Probability that symptomatic urogenital infection is caused by NG, male & 0.72 (0.65-0.80) & 0.73 (0.65-0.80) \\","$p_m$","Probability that symptomatic urogenital infection is caused by NG, male","0.72 (0.65-0.80)","0.73 (0.65-0.80)"
"$p_f$ & Probability that symptomatic urogenital infection is caused by NG, female & 0.15 (0.10-0.20) & 0.15 (0.10-0.20) \\","$p_f$","Probability that symptomatic urogenital infection is caused by NG, female","0.15 (0.10-0.20)","0.15 (0.10-0.20)"
"$\zeta_m$ & Sensitivity of syndromic management to correctly identify bacterial infections, male & 0.85 (0.80-0.90) & 0.85 (0.80-0.90) \\","$\zeta_m$","Sensitivity of syndromic management to correctly identify bacterial infections, male","0.85 (0.80-0.90)","0.85 (0.80-0.90)"
"$\zeta_f$ & Sensitivity of syndromic management to correctly identify bacterial infections, female & 0.45 (0.40-0.50) & 0.45 (0.40-0.50) \\","$\zeta_f$","Sensitivity of syndromic management to correctly identify bacterial infections, female","0.45 (0.40-0.50)","0.45 (0.40-0.50)"
"$\kappa_m$ & Probability of transmission per sex act, male & 0.23 (0.15-0.30) & 0.23 (0.15-0.30) \\","$\kappa_m$","Probability of transmission per sex act, male","0.23 (0.15-0.30)","0.23 (0.15-0.30)"
"$\kappa_f$ & Probability of transmission per sex act, female & 0.25 (0.11-0.39) & 0.21 (0.10-0.37) \\","$\kappa_f$","Probability of transmission per sex act, female","0.25 (0.11-0.39)","0.21 (0.10-0.37)"
"$\phi_m$ & Probability of symptomatic infection, male & 0.68 (0.46-0.89) & 0.61 (0.46-0.85) \\","$\phi_m$","Probability of symptomatic infection, male","0.68 (0.46-0.89)","0.61 (0.46-0.85)"
"$\phi_f$ & Probability of symptomatic infection, female & 0.32 (0.21-0.44) & 0.34 (0.22-0.44) \\","$\phi_f$","Probability of symptomatic infection, female","0.32 (0.21-0.44)","0.34 (0.22-0.44)"
"$\pi$ & Rate of natural recovery & 2.30 (1.83-2.77) & 2.32 (1.84-2.76) \\","$\pi$","Rate of natural recovery","2.30 (1.83-2.77)","2.32 (1.84-2.76)"
"$\sigma$ & Rate of recovery after treatment & 39.0 (26.7-51.3) & 38.9 (26.6-51.5) \\","$\sigma$","Rate of recovery after treatment","39.0 (26.7-51.3)","38.9 (26.6-51.5)"
