cov_id,study_id,study_name,month_start,year_start,month_end,year_end,year_publish,year_mid,country,region_actual,region_analysis,urban_rural,location,study_design,study_sample,sex,population,population_detail,age_group,reproductive_age,age_range,age_min,age_max,age_mean,age_median,age_iqr,hiv_status,hiv_tested,hiv_positive,hiv_prevalence,sti,num,denom,prev,specimen,test,sens,spec,adj_prev,adj_se,adj_prev_lwr,adj_prev_upr,adj_num,adj_denom
#23279,Oliver 2018,NA,April,2014,November,2014,2018,2014,Kenya,EA,EA,Mixed,Kisumu and surrounding villages,Cross sectional,Convenience,Female,Community members,general population - venue-based recruitment in community for observational study of NuvaRing,Adult,Y,18 to 34,18,34,NA,25,21-28,Mixed,457,67,0.147,CT,21,457,0.046,genital fluid,NAAT,88.6,99.6,0.04991751,0.011534943,0.029611211,0.075164465,17.79247059,356.4374654
#23279,Oliver 2018,NA,April,2014,November,2014,2018,2014,Kenya,EA,EA,Mixed,Kisumu and surrounding villages,Cross sectional,Convenience,Female,Community members,general population - venue-based recruitment in community for observational study of NuvaRing,Adult,Y,18 to 34,18,34,NA,25,21-28,Mixed,457,67,0.147,NG,17,457,0.039,genital fluid,NAAT,93.3,99.2,0.033613495,0.009865224,0.016488256,0.05475535,11.21926145,333.772537
#23226,Nyakambi 2022,NA,May,2021,June,2021,2022,2021,Kenya,EA,EA,Urban,Kisumu,Cross sectional,Consecutive,Female,PHC/OPD attendees,"Non-pregnant women, sexually active",Adult,Y,18 to 49,18,49,NA,NA,NA,Mixed,385,35,0.09,CT,29,385,0.075324675,genital fluid,rapid antigen test,56,99,0.12263441,0.024994076,0.077216111,0.173776475,21.12180874,172.2339494
#22493,Kanyina 2017,NA,November,2013,January,2014,2017,2014,Kenya,EA,EA,Urban,Thika,Cross sectional,Convenience,Female,GYN attendees,women seeking Pap smear test at the health facility,Adult,U,15+,15,NR,42,NA,NA,Mixed,NA,NA,NR,TV,18,244,0.073770492,genital fluid,WM,52,100,0.147664735,0.032645479,0.088986116,0.218097859,17.43885433,118.0976235
#22966,Mgodi 2021,HVTN703 / HPTN081,May,2016,September,2018,2021,2017,Kenya,EA,EA,Urban,Kisumu,Cohort,Convenience,Female,HIV/STI prevention trial participants,"HVTN 703/HPTN 081 baseline. HIV-negative heterosexual women who had engaged in vaginal and/or anal intercourse with a male partner 6 months before randomisation. In Kenya, 60% reported engaging in sex for money/gifts and median partners in last 60 days was 6.",Adult,Y,18 to 50,18,50,NA,24,22-27,HIV negative,82,0,0,CT,12,82,0.146,genital fluid or urine,NAAT,87,99.6,0.17451701,0.045338182,0.094853364,0.272575718,12.23081637,70.08380675
#22966,Mgodi 2021,HVTN703 / HPTN081,May,2016,September,2018,2021,2017,Kenya,EA,EA,Urban,Kisumu,Cohort,Convenience,Female,HIV/STI prevention trial participants,"HVTN 703/HPTN 081 baseline. HIV-negative heterosexual women who had engaged in vaginal and/or anal intercourse with a male partner 6 months before randomisation. In Kenya, 60% reported engaging in sex for money/gifts and median partners in last 60 days was 6.",Adult,Y,18 to 50,18,50,NA,24,22-27,HIV negative,82,0,0,NG,5,82,0.061,genital fluid or urine,NAAT,91.6,99.2,0.069132767,0.030727074,0.019725925,0.138891007,4.712085984,68.15995097
#24745,Lokken 2022,Microbiota and Preterm Birth Study,April,2017,March,2020,2022,2019,Kenya,EA,EA,Urban,Nairobi and Mombasa,Cohort,Consecutive,Female,FP attendees,Microbiota and Preterm Birth Study baseline. HIV-negative women who are currently planning to become pregnant (not using contraception other than condoms for HIV/STI prevention),Adult,Y,18 to 45,18,45,NA,29,25-34,HIV negative,691,0,0,CT,51,691,0.074,genital fluid,NAAT,88.6,99.6,0.080669339,0.011121543,0.0601024,0.104041789,48.3680563,599.5841411
#24745,Lokken 2022,Microbiota and Preterm Birth Study,April,2017,March,2020,2022,2019,Kenya,EA,EA,Urban,Nairobi and Mombasa,Cohort,Consecutive,Female,FP attendees,Microbiota and Preterm Birth Study baseline. HIV-negative women who are currently planning to become pregnant (not using contraception other than condoms for HIV/STI prevention),Adult,Y,18 to 45,18,45,NA,29,25-34,HIV negative,691,0,0,NG,5,691,0.007,genital fluid,NAAT,93.3,99.2,0.003502501,0.002865102,0.00013121,0.010468131,1.489198287,425.181408
#24745,Lokken 2022,Microbiota and Preterm Birth Study,April,2017,March,2020,2022,2019,Kenya,EA,EA,Urban,Nairobi and Mombasa,Cohort,Consecutive,Female,FP attendees,Microbiota and Preterm Birth Study baseline. HIV-negative women who are currently planning to become pregnant (not using contraception other than condoms for HIV/STI prevention),Adult,Y,18 to 45,18,45,NA,29,25-34,HIV negative,691,0,0,TV,6,691,0.009,genital fluid,NAAT,95,98,0.002447955,0.002387694,7.32E-05,0.00874355,1.048540272,428.3332153
#22440,Jespers 2014,NA,NR,2010,NR,2011,2014,2011,Kenya,EA,EA,Urban,Mombasa,Cross sectional,Consecutive,Female,FP attendees,"Reference group, recruited from FP clinic",Adult,Y,18 to 35,18,35,25,NA,NA,HIV negative,110,0,0,CT,4,110,0.036363636,genital fluid,NAAT,88.6,99.6,0.046278237,0.022335371,0.012920952,0.097309287,4.094387714,88.47328721
